Feat1,Feat2,Feat3,Feat4,Output
0.195,0.025,1.5,4.97,2.2
0.195,0.025,2,4.97,2.2
0.195,0.025,3,4.97,2.2
0.195,0.025,4,4.97,2.2
0.195,0.125,1.5,4.97,2.2
0.195,0.125,2,4.97,2.2
0.195,0.125,3,4.97,2.2
0.195,0.125,4,4.97,2.2
0.195,0.125,5,4.97,2.2
0.155,0.025,1.5,4.97,2.3
0.155,0.025,2,4.97,2.3
0.155,0.025,4,4.97,2.3
0.155,0.025,5,4.97,2.3
0.155,0.125,2,4.97,2.3
0.155,0.125,3,4.97,2.3
0.155,0.125,4,4.97,2.3
0.155,0.125,5,4.97,2.3
0.245,0.025,1.5,5.74,2.2
0.245,0.025,2,5.74,2.2
0.245,0.025,3,5.74,2.2
0.245,0.025,4,5.74,2.2
0.245,0.125,1.5,5.74,2.2
0.245,0.125,2,5.74,2.2
0.245,0.125,3,5.74,2.2
0.245,0.125,4,5.74,2.2
0.245,0.125,5,5.74,2.2
0.185,0.025,1.5,5.74,2.3
0.185,0.025,2,5.74,2.3
0.185,0.025,3,5.74,2.3
0.185,0.025,4,5.74,2.3
0.185,0.025,5,5.74,2.3
0.185,0.125,2,5.74,2.3
0.185,0.125,3,5.74,2.3
0.185,0.125,4,5.74,2.3
0.185,0.125,5,5.74,2.3
0.125,0.025,1.5,5.74,2.2
0.125,0.025,3,5.74,2.2
0.125,0.025,4,5.74,2.2
0.125,0.025,5,5.74,2.2
0.125,0.125,1.5,5.74,2.2
0.125,0.125,2,5.74,2.2
0.125,0.125,3,5.74,2.2
0.125,0.125,4,5.74,2.2
0.125,0.125,5,5.74,2.2
0.13,0.125,1.5,4.21,1.2
0.13,0.125,2,4.21,1.2
0.13,0.125,3,4.21,1.2
0.13,0.125,4,4.21,1.2
0.13,0.025,1.5,4.21,1.2
0.13,0.025,2,4.21,1.2
0.13,0.025,3,4.21,1.2
0.13,0.025,4,4.21,1.2
0.13,0.025,5,4.21,1.2
0.175,0.125,1.5,4.21,1.8
0.175,0.125,2,4.21,1.8
0.175,0.125,3,4.21,1.8
0.175,0.125,5,4.21,1.8
0.175,0.025,1.5,4.21,1.8
0.175,0.025,2,4.21,1.8
0.175,0.025,3,4.21,1.8
0.175,0.025,4,4.21,1.8
0.175,0.025,5,4.21,1.8
0.235,0.125,1.5,4.21,2.2
0.235,0.125,2,4.21,2.2
0.235,0.125,3,4.21,2.2
0.235,0.125,4,4.21,2.2
0.235,0.125,5,4.21,2.2
0.235,0.025,1.5,4.21,2.2
0.235,0.025,3,4.21,2.2
0.235,0.025,4,4.21,2.2
0.235,0.025,5,4.21,2.2
0.035,0.125,1.5,4.68,0.8
0.035,0.125,2,4.68,0.8
0.035,0.125,4,4.68,0.8
0.035,0.125,5,4.68,0.8
0.035,0.025,1.5,4.68,0.8
0.035,0.025,2,4.68,0.8
0.035,0.025,3,4.68,0.8
0.035,0.025,4,4.68,0.8
0.035,0.025,5,4.68,0.8
0.06,0.125,1.5,4.68,0.9
0.06,0.125,2,4.68,0.9
0.06,0.125,3,4.68,0.9
0.06,0.125,5,4.68,0.9
0.06,0.025,1.5,4.68,0.9
0.06,0.025,3,4.68,0.9
0.06,0.025,4,4.68,0.9
0.06,0.025,5,4.68,0.9
0.26,0.025,1.5,4.4,2.2
0.26,0.025,2,4.4,2.2
0.26,0.025,4,4.4,2.2
0.26,0.025,5,4.4,2.2
0.26,0.125,1.5,4.4,2.2
0.26,0.125,2,4.4,2.2
0.26,0.125,3,4.4,2.2
0.26,0.125,4,4.4,2.2
0.26,0.125,5,4.4,2.2
0.125,0.125,1.5,4.4,2.3
0.125,0.125,3,4.4,2.3
0.125,0.125,4,4.4,2.3
0.125,0.125,5,4.4,2.3
0.125,0.025,1.5,4.4,2.3
0.125,0.025,2,4.4,2.3
0.125,0.025,3,4.4,2.3
0.125,0.025,4,4.4,2.3
0.125,0.025,5,4.4,2.3
0.18,0.025,2,4.4,2.2
0.18,0.025,3,4.4,2.2
0.18,0.025,4,4.4,2.2
0.18,0.025,5,4.4,2.2
0.18,0.125,1.5,4.4,2.2
0.18,0.125,2,4.4,2.2
0.18,0.125,3,4.4,2.2
0.18,0.125,4,4.4,2.2
0.18,0.125,5,4.4,2.2
